Name,Location,Year,Kilometers,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_nrs
Toyota Fortuner 4x2 Manual,Nepaljung,2014,107825,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,92.25
Mahindra Bolero DI BSII,Pokhara,2006,82453,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,8,13.05
Maruti Esteem Vxi - BSIII,Pokhara,2007,30441,Petrol,Manual,First,15.9 kmpl,1298 CC,85 bhp,5,6.525
Hyundai Santro LS zipPlus,Pokhara,2002,70000,Petrol,Manual,Third,0.0 kmpl,1086 CC,null bhp,5,2.925
Mini Cooper 5 DOOR D,Bharatpur,2016,11000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,5,132.75
Audi Q3 35 TDI Quattro Premium,Nepaljung,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,112.5
Hyundai i20 Sportz Option,Kathmandu,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,15.75
Tata Safari Storme VX Varicor 400,Birjung,2017,37000,Diesel,Manual,First,14.1 kmpl,2179 CC,154 bhp,7,50.625
Honda BR-V i-DTEC VX MT,Ratnanagar,2017,32249,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7,48.555
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Butwal,2013,58000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.03 bhp,5,26.55
Hyundai Xcent 1.2 Kappa S Option,Birjung,2017,28360,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,23.04
Maruti Ignis 1.2 Alpha,Bharatpur,2017,7000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,25.65
BMW 5 Series 2013-2017 520d Luxury Line,Janakpur,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5,161.28
Ford Ikon 1.3 CLXi,Nepaljung,2007,92000,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5,5.625
Hyundai i10 Sportz,Butwal,2013,25000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,11.925
Hyundai Verna 1.6 CRDI,Janakpur,2016,37882,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,41.355
BMW 3 Series 320d Highline,Biratnagar,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5,105.75
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Kathmandu,2011,61000,Petrol,Automatic,First,12.3 kmpl,1796 CC,185 bhp,5,56.25
Chevrolet Beat Option Pack,Butwal,2010,35000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,6.75
Hyundai Santro Xing XP,Birjung,2004,200000,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,3.6
Tata Indica DLS,Birjung,2009,82000,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,5,3.375
Mahindra XUV500 W8 2WD,Kathmandu,2012,72450,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,36.45
Maruti Ciaz ZDi Plus SHVS,Birjung,2017,36381,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,43.875
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Janakpur,2017,25559,Diesel,Automatic,First,19.71 kmpl,2143 CC,201.15 bhp,5,170.685
Honda City ZX CVT,Pokhara,2005,100000,Petrol,Automatic,Third,16.4 kmpl,1497 CC,78 bhp,5,8.82
Toyota Fortuner 4x2 4 Speed AT,Birjung,2015,94000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7,92.25
Maruti Alto K10 VXI,Biratnagar,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,12.375
Jaguar XJ 2.0L Portfolio,Bharatpur,2017,10501,Petrol,Automatic,First,9.43 kmpl,1999 CC,237.4 bhp,5,337.5
Hyundai i20 1.4 Magna ABS,Pokhara,2009,47000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,12.6
Honda BRV i-VTEC V CVT,Bharatpur,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497 CC,117.3 bhp,7,41.625
Toyota Corolla Executive (HE),Pokhara,2007,89000,Petrol,Manual,First,13.4 kmpl,1794 CC,125 bhp,5,13.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Janakpur,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,107.505
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Bharatpur,2014,35000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,57.375
Hyundai Grand i10 CRDi Sportz,Birjung,2014,64000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,18.675
Volkswagen Vento IPL II Petrol Highline AT,Bharatpur,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598 CC,105 bhp,5,20.925
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Kathmandu,2012,78600,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,40.05
Hyundai Verna CRDi SX,Birjung,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493 CC,110 bhp,5,6.75
Maruti Ritz VDi,Hetauda,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248 CC,73.94 bhp,5,14.715
Audi Q7 3.0 TDI Quattro Technology,Hetauda,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,81
Hyundai i20 Asta Option 1.2,Hetauda,2016,21000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,28.35
Maruti Vitara Brezza ZDi Plus Dual Tone,Janakpur,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,50.895
Honda City i VTEC S,Hetauda,2014,58407,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,27.72
Maruti Ciaz ZXi,Hetauda,2014,49500,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,27
Nissan Sunny XV CVT,Ratnanagar,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498 CC,99.6 bhp,5,24.435
Volkswagen Polo Diesel Highline 1.2L,Nepaljung,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,20.925
Maruti Ertiga ZDI,Nepaljung,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,33.75
Maruti Swift Dzire VDI,Birjung,2015,60000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,28.125
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Biratnagar,2007,39037,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,41.625
Honda Brio S MT,Bharatpur,2013,17003,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,14.175
Hyundai i10 Magna Optional 1.1L,Nepaljung,2008,80400,Petrol,Manual,First,16.0 kmpl,1086 CC,66.7 bhp,5,10.35
Hyundai Verna 1.6 SX CRDi (O),Birjung,2012,75200,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,23.625
Maruti Ciaz VDI SHVS,Ratnanagar,2017,41217,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,33.3
Ford Ikon 1.3 Flair,Hetauda,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299 CC,70 bhp,5,6.975
Volkswagen Polo 1.2 MPI Highline,Hetauda,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199 CC,74 bhp,5,27
Honda Jazz 1.2 V i VTEC,Pokhara,2016,17377,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,26.55
Honda Amaze EX i-Dtech,Biratnagar,2013,33800,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5,21.15
Hyundai i20 Asta 1.4 CRDi,Nepaljung,2015,86157,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,29.25
Maruti Ritz VDi,Nepaljung,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,15.975
Honda City V MT,Pokhara,2014,55000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,31.95
Skoda Superb 1.8 TSI MT,Nepaljung,2010,53293,Petrol,Manual,First,13.14 kmpl,1798 CC,160 bhp,5,27
Maruti Vitara Brezza LDi Option,Hetauda,2017,38000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,35.955
Hyundai i20 Asta,Biratnagar,2009,64000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,18.45
Maruti Alto K10 VXI AGS,Nepaljung,2017,25058,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,5,17.775
Hyundai EON Era Plus,Ratnanagar,2016,36700,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,19.71
Hyundai i10 Sportz,Bharatpur,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,12.375
Mercedes-Benz SLK-Class SLK 350,Janakpur,2016,22732,Petrol,Automatic,First,18.1 kmpl,3498 CC,306 bhp,2,249.93
Audi A6 2.0 TDI Design Edition,Nepaljung,2014,48000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,130.5
Ford EcoSport 1.5 TDCi Titanium,Biratnagar,2013,62084,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,29.7
Volkswagen Passat Highline DSG,Butwal,2012,39273,Diesel,Automatic,First,14.3 kmpl,1968 CC,140 bhp,5,31.455
Toyota Innova Crysta 2.4 ZX MT,Biratnagar,2017,64798,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,84.375
Ford Figo Diesel ZXI,Birjung,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399 CC,68 bhp,5,5.76
Chevrolet Aveo 1.4,Hetauda,2006,78000,Petrol,Manual,Third,14.49 kmpl,1399 CC,92.7 bhp,5,5.4
Maruti Ritz LXi,Janakpur,2013,57717,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,19.395
Land Rover Freelander 2 SE,Pokhara,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,74.25
Hyundai Grand i10 Asta,Janakpur,2017,74515,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,25.38
Ford Endeavour 3.2 Trend AT 4X4,Janakpur,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,140.04
Audi Q5 2008-2012 2.0 TDI,Ratnanagar,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,114.57
Hyundai Verna 1.6 VTVT,Ratnanagar,2017,37688,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,35.46
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Pokhara,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5,162
Mercedes-Benz M-Class ML 350 4Matic,Hetauda,2014,120000,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5,135
Maruti Swift Dzire ZXi,Hetauda,2008,64000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,12.825
Honda City 1.3 EXI S,Kathmandu,2011,100000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5,15.75
Renault Duster 85PS Diesel RxL Optional,Birjung,2014,75000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5,33.75
Mercedes-Benz New C-Class 220 CDI AT,Nepaljung,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,85.5
BMW X5 xDrive 30d Design Pure Experience 5 Seater,Nepaljung,2015,69000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5,243
Hyundai Xcent 1.2 Kappa SX Option,Ratnanagar,2015,41721,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,21.15
Maruti Dzire AMT ZXI Plus,Nepaljung,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5,38.25
BMW 3 Series 320d Corporate Edition,Butwal,2013,38998,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,4,76.5
Maruti Alto 800 LXI,Ratnanagar,2017,54250,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,15.795
Audi A4 2.0 TDI 177 Bhp Premium Plus,Biratnagar,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5,87.75
Mini Cooper S,Hetauda,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598 CC,181 bhp,4,76.5
Audi Q7 3.0 TDI Quattro Premium Plus,Janakpur,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,195.075
Chevrolet Beat Diesel LT,Biratnagar,2012,40700,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,11.925
Maruti Wagon R LXI BS IV,Ratnanagar,2015,43828,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,15.84
Nissan Terrano XV Premium 110 PS,Butwal,2016,53000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5,28.125
BMW 3 Series 320d Luxury Plus,Itahari,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,111.375
Maruti Swift Dzire VXI,Bharatpur,2015,19000,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5,23.625
Skoda Yeti Elegance 4X2,Birjung,2016,84000,Diesel,Manual,First,17.72 kmpl,1968 CC,108.5 bhp,5,49.5
Ford EcoSport 1.5 Ti VCT AT Titanium,Ratnanagar,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499 CC,110.4 bhp,5,40.95
Hyundai i20 1.2 Magna,Pokhara,2010,67714,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,14.625
Maruti S Cross DDiS 200 Sigma Option,Hetauda,2017,32000,Diesel,Manual,First,15.0 kmpl,1248 CC,88.5 bhp,5,38.25
Hyundai Verna Transform VTVT,Hetauda,2010,51000,Petrol,Manual,First,16.2 kmpl,1599 CC,103.2 bhp,5,13.95
BMW 3 Series 320d Luxury Line,Ratnanagar,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,89.37
Hyundai Grand i10 1.2 CRDi Magna,Butwal,2017,14000,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,22.05
Honda City i-VTEC V,Kathmandu,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497 CC,117.3 bhp,5,25.65
Maruti Swift 1.3 VXi,Pokhara,2006,97800,Petrol,Manual,Third,16.1 kmpl,,,,7.875
Maruti Swift VDI BSIV,Butwal,2012,52241,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,13.05
Maruti Baleno Zeta 1.3,Janakpur,2018,25433,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,35.235
Tata Safari Storme 2012-2015 LX,Ratnanagar,2015,40611,Diesel,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,7,36.675
Hyundai Accent GLS,Biratnagar,2008,72000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5,9
Maruti Swift LDI SP Limited Edition,Nepaljung,2016,54631,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,28.125
Maruti Swift VDI BSIV,Biratnagar,2007,60000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5,15.3
Tata Nano XTA,Janakpur,2016,24941,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,14.355
Maruti Ertiga VDI,Itahari,2017,63939,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,34.875
Maruti Celerio VXI AMT,Kathmandu,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5,14.4
Maruti Swift VDI BSIV,Kathmandu,2015,63000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,22.05
Volkswagen Vento Petrol Highline,Ratnanagar,2012,121377,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5,17.1
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pokhara,2009,100970,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,5,18
Mini Cooper 5 DOOR D,Nepaljung,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496 CC,113.98 bhp,5,105.75
Tata Indica V2 DLS,Pokhara,2008,77650,Diesel,Manual,First,17.2 kmpl,1396 CC,53.5 bhp,5,5.175
Hyundai Santro Xing XO,Nepaljung,2007,71297,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,9.9
Land Rover Range Rover 3.0 D,Bharatpur,2008,55001,Diesel,Automatic,Second,0.0 kmpl,,,,119.25
Honda City i-VTEC CVT VX,Biratnagar,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,47.925
Jaguar XF 2.2 Litre Luxury,Janakpur,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,160.56
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Ratnanagar,2017,43368,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,5,143.73
Chevrolet Cruze LTZ,Pokhara,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,147.9 bhp,5,18.9
Mahindra XUV500 W8 2WD,Itahari,2015,72007,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,44.55
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Ratnanagar,2014,56778,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,69.57
Honda Jazz VX,Ratnanagar,2018,20024,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,38.07
Toyota Etios G,Butwal,2013,42103,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5,14.625
Maruti Alto LXi BSIII,Nepaljung,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,11.7
Maruti Swift VXI BSIV,Janakpur,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,23.4
Maruti A-Star Vxi,Hetauda,2009,85000,Petrol,Manual,Third,19.0 kmpl,998 CC,66.1 bhp,5,8.1
Tata Nano Lx BSIV,Pokhara,2011,35000,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4,7.2
Ford Figo Titanium Diesel,Butwal,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5,11.25
Fiat Linea Emotion,Birjung,2011,48500,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5,11.25
Ford Figo Aspire 1.2 Ti-VCT Trend,Janakpur,2017,28854,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,30.15
Maruti Baleno LXI,Nepaljung,2005,92450,Petrol,Manual,First,15.4 kmpl,1590 CC,94 bhp,5,5.4
BMW 3 Series 320d Luxury Line,Janakpur,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,159.975
Chevrolet Cruze LTZ,Birjung,2017,51087,Diesel,Manual,First,17.9 kmpl,1998 CC,163.7 bhp,5,34.875
Mahindra Scorpio 2.6 DX,Pokhara,2005,50000,Diesel,Manual,First,12.7 kmpl,2609 CC,116.6 bhp,8,8.73
Tata Indica V2 eLS,Nepaljung,2016,73000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,9.9
Chevrolet Cruze LTZ AT,Itahari,2011,60000,Diesel,Automatic,First,18.1 kmpl,1991 CC,147.9 bhp,4,17.1
Toyota Innova 2.5 V Diesel 8-seater,Pokhara,2016,50000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,70.425
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Janakpur,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,177.615
Maruti Ritz VXi,Butwal,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197 CC,85.80 bhp,5,6.75
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Itahari,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,39.825
Toyota Fortuner 4x4 MT,Biratnagar,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982 CC,168.5 bhp,7,80.55
Hyundai i10 Sportz AT,Janakpur,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5,22.86
Hyundai Verna 1.6 SX,Biratnagar,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,28.125
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Biratnagar,2015,76927,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,102.375
Chevrolet Beat LS,Butwal,2010,17088,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,6.57
Ford Fiesta 1.4 Duratorq ZXI,Hetauda,2007,112808,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,9.225
Ford Figo Diesel EXI,Janakpur,2014,74980,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,18.36
Maruti Celerio VXI AT,Nepaljung,2014,44600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,20.475
Mercedes-Benz A Class A180 CDI,Bharatpur,2013,37000,Diesel,Automatic,First,20.0 kmpl,2143 CC,107.3 bhp,5,63
Hyundai Creta 1.6 SX,Itahari,2016,21000,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5,49.05
Maruti Wagon R VXI BS IV,Biratnagar,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,11.025
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Kathmandu,2013,70000,Diesel,Automatic,First,10.0 kmpl,2148 CC,170 bhp,5,71.1
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Bharatpur,2017,4018,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5,37.125
Renault Koleos 2.0 Diesel,Kathmandu,2013,70000,Diesel,Automatic,Second,13.73 kmpl,1995 CC,148 bhp,5,38.25
Mahindra XUV500 W10 2WD,Janakpur,2016,56532,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,69.93
Maruti Omni E 8 Str STD,Nepaljung,2013,26875,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,10.575
Maruti Wagon R VXI,Janakpur,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,19.44
Ford Endeavour XLT TDCi 4X2,Birjung,2008,205000,Diesel,Manual,Second,13.1 kmpl,2499 CC,141 bhp,7,17.55
Hyundai Verna 1.6 SX,Nepaljung,2011,98000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,23.4
Hyundai i20 Magna 1.2,Bharatpur,2018,19500,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,26.325
Maruti Ertiga ZXI,Biratnagar,2013,68000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,7,28.125
Mahindra XUV500 W9 AT,Janakpur,2019,19654,Diesel,Automatic,First,14.0 kmpl,2179 CC,155 bhp,7,79.335
Maruti SX4 S Cross DDiS 200 Zeta,Bharatpur,2017,26000,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5,43.875
Mercedes-Benz SLK-Class SLK 350,Biratnagar,2015,10000,Petrol,Automatic,First,18.1 kmpl,3498 CC,306 bhp,2,247.5
Volkswagen Polo Diesel Comfortline 1.2L,Nepaljung,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,18.45
Toyota Fortuner 4x4 MT,Nepaljung,2011,157000,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7,53.955
Mahindra XUV500 W10 2WD,Ratnanagar,2017,43773,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,60.93
Mercedes-Benz GLE 250d,Bharatpur,2016,21000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5,252
Honda Jazz 1.2 VX i VTEC,Pokhara,2016,23280,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,29.25
Maruti Swift Dzire VDI,Hetauda,2013,88000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,21.375
Hyundai Verna 1.6 SX VTVT,Nepaljung,2014,67000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,25.2
Ford Endeavour 3.2 Titanium AT 4X4,Janakpur,2017,59636,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,131.4
Hyundai i20 1.2 Asta Option,Butwal,2018,11000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,28.575
Honda City 1.5 V MT Sunroof,Bharatpur,2013,60669,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,22.275
Honda Amaze VX Diesel,Nepaljung,2018,12000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,38.25
Hyundai Verna 1.6 SX VTVT (O),Butwal,2013,35000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,20.25
Honda Mobilio S i DTEC,Pokhara,2015,65000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7,24.75
Maruti Ertiga ZDI,Ratnanagar,2013,39929,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,29.52
Maruti Alto K10 LXI,Hetauda,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,10.35
Toyota Qualis FS B2,Hetauda,2004,77757,Diesel,Manual,Second,13.1 kmpl,2446 CC,75 bhp,10,15.75
Hyundai i10 Sportz,Ratnanagar,2016,21456,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,20.475
Skoda Laura 1.9 TDI AT Ambiente,Biratnagar,2009,74000,Diesel,Automatic,Second,17.0 kmpl,1896 CC,105 bhp,5,34.875
Hyundai i20 Asta Option 1.2,Bharatpur,2015,37000,Petrol,Manual,Second,18.6 kmpl,1197 CC,81.83 bhp,5,23.625
BMW 5 Series 2003-2012 530d Highline,Janakpur,2013,108640,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,5,104.805
BMW 3 Series 320d M Sport,Bharatpur,2016,38000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,107.955
Chevrolet Aveo 1.4 LT ABS BSIV,Hetauda,2010,80000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5,8.055
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bharatpur,2011,47000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,5,62.55
Audi A6 2011-2015 2.0 TDI Premium Plus,Butwal,2013,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,85.275
Maruti Wagon R LXI BS IV,Butwal,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,11.205
Renault KWID RXT,Birjung,2016,4152,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,14.175
Volkswagen Ameo 1.5 TDI Highline,Bharatpur,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,29.025
Volkswagen Polo Diesel Comfortline 1.2L,Itahari,2013,55000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,19.125
